Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,leaf1,Ethernet1,mlag_peer,leaf2,Ethernet1,True
l3leaf,leaf1,Ethernet2,spine,spine1,Ethernet2,True
l3leaf,leaf1,Ethernet3,spine,spine2,Ethernet2,True
l3leaf,leaf1,Ethernet4,server,host1,Eth1,True
l3leaf,leaf1,Ethernet5,server,host1,Eth2,True
l3leaf,leaf1,Ethernet6,mlag_peer,leaf2,Ethernet6,True
l3leaf,leaf2,Ethernet1,mlag_peer,leaf1,Ethernet1,True
l3leaf,leaf2,Ethernet2,spine,spine1,Ethernet3,True
l3leaf,leaf2,Ethernet3,spine,spine2,Ethernet3,True
l3leaf,leaf2,Ethernet4,server,host1,Eth3,True
l3leaf,leaf2,Ethernet5,server,host1,Eth4,True
l3leaf,leaf2,Ethernet6,mlag_peer,leaf1,Ethernet6,True
spine,spine1,Ethernet2,l3leaf,leaf1,Ethernet2,True
spine,spine1,Ethernet3,l3leaf,leaf2,Ethernet2,True
spine,spine2,Ethernet2,l3leaf,leaf1,Ethernet3,True
spine,spine2,Ethernet3,l3leaf,leaf2,Ethernet3,True
